source_prefix	source_identifier	source_name	relation	target_prefix	target_identifier	target_name
decopath	DC1-1	Amino acid metabolism and derivatives	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-1-1	Alanine, aspartate and glutamate metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-10	Lysine degradation	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-11	Urea cycle	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-12	Arginine biosynthesis	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-13	Tyrosine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-14	Tryptophan metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-15	Histidine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-16	Glutathione metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-17	Beta-Alanine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-18	Cysteine formation from homocysteine	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-19	Sulfur metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-2	Cysteine and methionine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-2-1	Methionine salvage pathway	BFO:0000050	decopath	DC1-1-2	Cysteine and methionine metabolism
decopath	DC1-1-3	D-Arginine and D-ornithine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-4	Arginine and proline metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-5	Selenocompound metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-6	Melanin biosynthesis	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-7	Taurine and hypotaurine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-8	Thiamine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-9	Valine, leucine and isoleucine degradation	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-2	Carbon metabolism	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-2-1	Pentose phosphate pathway	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-2	Citric acid cycle (TCA)	BFO:0000050	reactome	R-HSA-71406	Pyruvate metabolism and Citric Acid (TCA) cycle
decopath	DC1-2-3	Starch and sucrose metabolism	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-4	Galactose metabolism	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-5	Starch and sucrose metabolism	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-6	Glycogen Metabolism	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-7	Propanoate metabolism	BFO:0000050	decopath	DC1-2	Carbon metabolism
decopath	DC1-2-8-1	Pyruvate metabolism	BFO:0000050	reactome	R-HSA-71406	Pyruvate metabolism and Citric Acid (TCA) cycle
decopath	DC1-2-9-1	Glycolysis and Gluconeogenesis	BFO:0000050	reactome	R-HSA-70326	Glucose metabolism
decopath	DC1-3	Lipid metabolism	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-3-1	Alpha linolenic acid (ALA) metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-10	Ether lipid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
