Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
reactome,R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,isPartOf,kegg,path:hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human)
reactome,R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,isPartOf,kegg,path:hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human)
kegg,path:hsa02010,ABC transporters - Homo sapiens (human),equivalentTo,reactome,R-HSA-1369007,Mitochondrial ABC transporters
reactome,R-HSA-5683177,Defective ABCC8 can cause hypoglycemias and hyperglycemias,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5679001,Defective ABCC2 causes Dubin-Johnson syndrome,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5679096,Defective ABCG5 causes sitosterolemia,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5683329,"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5678520,Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5690338,Defective ABCC6 causes pseudoxanthoma elasticum (PXE),isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5678420,"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5679090,Defective ABCG8 causes gallbladder disease 4 and sitosterolemia,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5678771,"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5684045,Defective ABCD1 causes adrenoleukodystrophy (ALD),isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5682294,Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5683371,Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7),isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5619084,ABC transporter disorders,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5682113,Defective ABCA1 causes Tangier disease,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5688399,Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3),isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-1369062,ABC transporters in lipid homeostasis,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-5683678,Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3),isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-382556,ABC-family proteins mediated transport,isPartOf,kegg,path:hsa02010,ABC transporters - Homo sapiens (human)
reactome,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,isPartOf,kegg,path:hsa04152,AMPK signaling pathway - Homo sapiens (human)
kegg,path:hsa04520,Adherens junction - Homo sapiens (human),equivalentTo,reactome,R-HSA-418990,Adherens junctions interactions
reactome,R-HSA-2586552,Signaling by Leptin,isPartOf,kegg,path:hsa04920,Adipocytokine signaling pathway - Homo sapiens (human)
kegg,path:hsa04920,Adipocytokine signaling pathway - Homo sapiens (human),isPartOf,reactome,R-HSA-1430728,Metabolism
kegg,path:hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives
kegg,path:hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",isPartOf,reactome,R-HSA-1430728,Metabolism
kegg,path:hsa04925,Aldosterone synthesis and secretion - Homo sapiens (human),isPartOf,reactome,R-HSA-1430728,Metabolism
kegg,path:hsa05330,Allograft rejection - Homo sapiens (human),isPartOf,reactome,R-HSA-1280218,Adaptive Immune System
kegg,path:hsa05330,Allograft rejection - Homo sapiens (human),isPartOf,reactome,R-HSA-168256,Immune System
reactome,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,isPartOf,kegg,path:hsa05010,Alzheimer disease - Homo sapiens (human)
kegg,path:hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),isPartOf,reactome,R-HSA-1430728,Metabolism
kegg,path:hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human),isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-379724,tRNA Aminoacylation,isPartOf,kegg,path:hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
reactome,R-HSA-379726,Mitochondrial tRNA aminoacylation,isPartOf,kegg,path:hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
reactome,R-HSA-379716,Cytosolic tRNA aminoacylation,isPartOf,kegg,path:hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
kegg,path:hsa04612,Antigen processing and presentation - Homo sapiens (human),equivalentTo,reactome,R-HSA-1236975,Antigen processing-Cross presentation
reactome,R-HSA-2132295,MHC class II antigen presentation,isPartOf,kegg,path:hsa04612,Antigen processing and presentation - Homo sapiens (human)
reactome,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",isPartOf,kegg,path:hsa04612,Antigen processing and presentation - Homo sapiens (human)
reactome,R-HSA-983169,Class I MHC mediated antigen processing & presentation,isPartOf,kegg,path:hsa04612,Antigen processing and presentation - Homo sapiens (human)
kegg,path:hsa04210,Apoptosis - Homo sapiens (human),equivalentTo,reactome,R-HSA-109581,Apoptosis
reactome,R-HSA-109581,Apoptosis,isPartOf,kegg,path:hsa04215,Apoptosis - multiple species - Homo sapiens (human)
