Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
kegg,path:hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa04152,AMPK signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP1403,AMP-activated Protein Kinase (AMPK) Signaling
wikipathways,WP3934,Leptin and adiponectin,isPartOf,kegg,path:hsa04920,Adipocytokine signaling pathway - Homo sapiens (human)
kegg,path:hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",isPartOf,wikipathways,WP3925,Amino Acid metabolism
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,kegg,path:hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"
kegg,path:hsa05034,Alcoholism - Homo sapiens (human),isPartOf,wikipathways,WP2636,Common Pathways Underlying Drug Addiction
kegg,path:hsa04925,Aldosterone synthesis and secretion - Homo sapiens (human),isPartOf,wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism
kegg,path:hsa05330,Allograft rejection - Homo sapiens (human),equivalentTo,wikipathways,WP2328,Allograft Rejection
kegg,path:hsa05010,Alzheimer disease - Homo sapiens (human),equivalentTo,wikipathways,WP2059,Alzheimers Disease
kegg,path:hsa05031,Amphetamine addiction - Homo sapiens (human),isPartOf,wikipathways,WP2636,Common Pathways Underlying Drug Addiction
kegg,path:hsa05014,Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human),equivalentTo,wikipathways,WP2447,Amyotrophic lateral sclerosis (ALS)
kegg,path:hsa04210,Apoptosis - Homo sapiens (human),equivalentTo,wikipathways,WP254,Apoptosis
wikipathways,WP384,Apoptosis Modulation by HSP70,isPartOf,kegg,path:hsa04210,Apoptosis - Homo sapiens (human)
wikipathways,WP2507,Nanomaterial induced apoptosis,isPartOf,kegg,path:hsa04210,Apoptosis - Homo sapiens (human)
wikipathways,WP1772,Apoptosis Modulation and Signaling,isPartOf,kegg,path:hsa04210,Apoptosis - Homo sapiens (human)
wikipathways,WP2507,Nanomaterial induced apoptosis,isPartOf,kegg,path:hsa04215,Apoptosis - multiple species - Homo sapiens (human)
wikipathways,WP384,Apoptosis Modulation by HSP70,isPartOf,kegg,path:hsa04215,Apoptosis - multiple species - Homo sapiens (human)
wikipathways,WP1772,Apoptosis Modulation and Signaling,isPartOf,kegg,path:hsa04215,Apoptosis - multiple species - Homo sapiens (human)
kegg,path:hsa00330,Arginine and proline metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00330,Arginine and proline metabolism - Homo sapiens (human),isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups
kegg,path:hsa00220,Arginine biosynthesis - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00220,Arginine biosynthesis - Homo sapiens (human),isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups
