Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
pathbank,PW000001,Alanine Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000001,Alanine Metabolism,isPartOf,kegg.pathway,hsa01230,Biosynthesis of amino acids - Homo sapiens (human) 
pathbank,PW000001,Alanine Metabolism,isPartOf,kegg.pathway,hsa00250,"Alanine,aspartate and glutamate metabolism - Homo sapiens (human)"
pathbank,PW122401,Aldosterone from Steroidogenesis,isPartOf,kegg.pathway,hsa04925,Aldosterone synthesis and secretion - Homo sapiens (human) 
pathbank,PW122401,Aldosterone from Steroidogenesis,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
kegg.pathway,hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),isPartOf,pathbank,PW000006,Alpha Linolenic Acid and Linoleic Acid Metabolism
pathbank,PW064820,Alternative Complement Pathway,isPartOf,kegg.pathway,hsa04610,Complement and coagulation cascades - Homo sapiens (human) 
pathbank,PW000008,Amino Sugar Metabolism,isPartOf,kegg.pathway,hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human) 
pathbank,PW000563,Angiotensin Metabolism,isPartOf,kegg.pathway,hsa04614,Renin-angiotensin system - Homo sapiens (human) 
pathbank,PW000044,Arachidonic Acid Metabolism,equivalentTo,kegg.pathway,hsa00590,Arachidonic acid metabolism - Homo sapiens (human) 
pathbank,PW000010,Arginine and Proline Metabolism,equivalentTo,kegg.pathway,hsa00330,Arginine and proline metabolism - Homo sapiens (human) 
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,kegg.pathway,hsa01230,Biosynthesis of amino acids - Homo sapiens (human) 
pathbank,PW000002,Aspartate Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000002,Aspartate Metabolism,isPartOf,kegg.pathway,hsa01230,Biosynthesis of amino acids - Homo sapiens (human) 
pathbank,PW000002,Aspartate Metabolism,isPartOf,kegg.pathway,hsa00250,"Alanine,aspartate and glutamate metabolism - Homo sapiens (human)"
pathbank,PW070885,BCR Signaling Pathway,equivalentTo,kegg.pathway,hsa04662,B cell receptor signaling pathway - Homo sapiens (human) 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,kegg.pathway,hsa01212,Fatty acid metabolism - Homo sapiens (human) 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,kegg.pathway,hsa00071,Fatty acid degradation - Homo sapiens (human) 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000012,Betaine Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000145,Bile Acid Biosynthesis,equivalentTo,kegg.pathway,hsa00120,Primary bile acid biosynthesis - Homo sapiens (human) 
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000013,Biotin Metabolism,equivalentTo,kegg.pathway,hsa00780,Biotin metabolism - Homo sapiens (human) 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,kegg.pathway,hsa04979,Cholesterol metabolism - Homo sapiens (human) 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000014,Butyrate Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW065635,CXCR4 Signaling Pathway,isPartOf,kegg.pathway,hsa04062,Chemokine signaling pathway - Homo sapiens (human) 
pathbank,PW000015,Caffeine Metabolism,equivalentTo,kegg.pathway,hsa00232,Caffeine metabolism - Homo sapiens (human) 
pathbank,PW000015,Caffeine Metabolism,isPartOf,kegg.pathway,hsa00983,Drug metabolism - other enzymes - Homo sapiens (human) 
pathbank,PW000015,Caffeine Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW091851,Circadian Rhythms,equivalentTo,kegg.pathway,hsa04710,Circadian rhythm - Homo sapiens (human) 
pathbank,PW000005,Citric Acid Cycle,equivalentTo,kegg.pathway,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human) 
pathbank,PW000005,Citric Acid Cycle,isPartOf,kegg.pathway,hsa01200,Carbon metabolism - Homo sapiens (human) 
pathbank,PW000005,Citric Acid Cycle,isPartOf,kegg.pathway,hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human) 
pathbank,PW065057,Classical Complement Pathway,isPartOf,kegg.pathway,hsa04610,Complement and coagulation cascades - Homo sapiens (human) 
pathbank,PW000562,Coagulation,isPartOf,kegg.pathway,hsa04610,Complement and coagulation cascades - Homo sapiens (human) 
pathbank,PW064819,Complement Pathway,isPartOf,kegg.pathway,hsa04610,Complement and coagulation cascades - Homo sapiens (human) 
pathbank,PW000442,Corticotropin Activation of Cortisol Production,isPartOf,kegg.pathway,hsa04927,Cortisol synthesis and secretion - Homo sapiens (human) 
pathbank,PW000018,Cysteine Metabolism,isPartOf,kegg.pathway,hsa00270,Cysteine and methionine metabolism - Homo sapiens (human) 
pathbank,PW000018,Cysteine Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000019,D-Arginine and D-Ornithine Metabolism,equivalentTo,kegg.pathway,hsa00472,D-Arginine and D-ornithine metabolism - Homo sapiens (human) 
pathbank,PW000019,D-Arginine and D-Ornithine Metabolism,isPartOf,kegg.pathway,hsa01100,Metabolic pathways - Homo sapiens (human)
pathbank,PW000456,DNA Replication Fork,isPartOf,kegg.pathway,hsa03030,DNA replication - Homo sapiens (human) 
