Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
pathbank,PW122411,2-Amino-3-carboxymuconate semialdehyde Degradation,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000726,Activation of PKC Through G Protein-Coupled Receptor,isPartOf,reactome,R-HSA-372790,Signaling by GPCR 
pathbank,PW000726,Activation of PKC Through G Protein-Coupled Receptor,isPartOf,reactome,R-HSA-388396,GPCR downstream signalling 
pathbank,PW064756,"Activation of cAMP-dependent protein kinase, PKA",isPartOf,reactome,R-HSA-170660,Adenylate cyclase activating pathway
pathbank,PW064763,Ahr Signal Transduction Pathway,equivalentTo,reactome,R-HSA-8937144,Aryl hydrocarbon receptor signalling 
pathbank,PW064763,Ahr Signal Transduction Pathway,isPartOf,reactome,R-HSA-162582,Signal Transduction 
pathbank,PW000001,Alanine Metabolism,isPartOf,reactome,R-HSA-70614,Amino acid synthesis and interconversion (transamination) 
pathbank,PW000001,Alanine Metabolism,isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives 
pathbank,PW000001,Alanine Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW122401,Aldosterone from Steroidogenesis,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000006,Alpha Linolenic Acid and Linoleic Acid Metabolism,isPartOf,reactome,R-HSA-556833,Metabolism of lipids 
pathbank,PW000006,Alpha Linolenic Acid and Linoleic Acid Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-2046106,alpha-linolenic acid (ALA) metabolism,isPartOf,pathbank,PW000006,Alpha Linolenic Acid and Linoleic Acid Metabolism
pathbank,PW064820,Alternative Complement Pathway,equivalentTo,reactome,R-HSA-173736,Alternative complement activation 
pathbank,PW064820,Alternative Complement Pathway,isPartOf,reactome,R-HSA-166658,Complement cascade 
pathbank,PW000008,Amino Sugar Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000045,Androgen and Estrogen Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,isPartOf,pathbank,PW000563,Angiotensin Metabolism
pathbank,PW000044,Arachidonic Acid Metabolism,equivalentTo,reactome,R-HSA-2142753,Arachidonic acid metabolism 
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,reactome,R-HSA-70614,Amino acid synthesis and interconversion (transamination) 
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives 
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000002,Aspartate Metabolism,isPartOf,reactome,R-HSA-70614,Amino acid synthesis and interconversion (transamination) 
pathbank,PW000002,Aspartate Metabolism,isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives 
pathbank,PW000002,Aspartate Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW070885,BCR Signaling Pathway,equivalentTo,reactome,R-HSA-983705,Signaling by the B Cell Receptor (BCR) 
pathbank,PW070885,BCR Signaling Pathway,isPartOf,reactome,R-HSA-162582,Signal Transduction 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,reactome,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,equivalentTo,reactome,R-HSA-390247,Beta-oxidation of very long chain fatty acids 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,reactome,R-HSA-556833,Metabolism of lipids 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,reactome,R-HSA-8978868,Fatty acid metabolism 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000012,Betaine Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,reactome,R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol 
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,reactome,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol 
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,reactome,R-HSA-194068,Bile acid and bile salt metabolism 
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,reactome,R-HSA-192105,Synthesis of bile acids and bile salts 
pathbank,PW000145,Bile Acid Biosynthesis,isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000013,Biotin Metabolism,isPartOf,reactome,R-HSA-196780,Biotin transport and metabolism 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),equivalentTo,reactome,R-HSA-6807047,Cholesterol biosynthesis via desmosterol 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,reactome,R-HSA-8957322,Metabolism of steroids 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,reactome,R-HSA-191273,Cholesterol biosynthesis 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,reactome,R-HSA-556833,Metabolism of lipids 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,reactome,R-HSA-1430728,Metabolism
pathbank,PW000014,Butyrate Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism 
pathbank,PW000015,Caffeine Metabolism,isPartOf,reactome,R-HSA-211981,Xenobiotics 
