Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
pathbank,PW122411,2-Amino-3-carboxymuconate semialdehyde Degradation,isPartOf,wikipathways,WP4210,Tryptophan catabolism leading to NAD+ production 
pathbank,PW064763,Ahr Signal Transduction Pathway,equivalentTo,wikipathways,WP2586,Aryl Hydrocarbon Receptor 
pathbank,PW064763,Ahr Signal Transduction Pathway,equivalentTo,wikipathways,WP2873,Aryl Hydrocarbon Receptor Pathway 
pathbank,PW000001,Alanine Metabolism,isPartOf,wikipathways,WP106,Alanine and aspartate metabolism 
pathbank,PW000001,Alanine Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000001,Alanine Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW122401,Aldosterone from Steroidogenesis,isPartOf,wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism 
pathbank,PW064820,Alternative Complement Pathway,isPartOf,wikipathways,WP545,Complement Activation 
pathbank,PW064820,Alternative Complement Pathway,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades 
wikipathways,WP697,Estrogen metabolism,isPartOf,pathbank,PW000045,Androgen and Estrogen Metabolism
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,pathbank,PW000044,Arachidonic Acid Metabolism
wikipathways,WP167,Eicosanoid Synthesis,isPartOf,pathbank,PW000044,Arachidonic Acid Metabolism
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000010,Arginine and Proline Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW000002,Aspartate Metabolism,isPartOf,wikipathways,WP106,Alanine and aspartate metabolism 
pathbank,PW000002,Aspartate Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000002,Aspartate Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW070885,BCR Signaling Pathway,equivalentTo,wikipathways,WP23,B Cell Receptor Signaling Pathway 
pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids,isPartOf,wikipathways,WP143,Fatty Acid Beta Oxidation 
wikipathways,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,isPartOf,pathbank,PW000161,Beta Oxidation of Very Long Chain Fatty Acids
wikipathways,WP2289,Drug Induction of Bile Acid Pathway,isPartOf,pathbank,PW000145,Bile Acid Biosynthesis
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,wikipathways,WP197,Cholesterol Biosynthesis 
pathbank,PW122325,Bloch Pathway (Cholesterol Biosynthesis),isPartOf,wikipathways,WP496,Steroid Biosynthesis 
pathbank,PW065635,CXCR4 Signaling Pathway,isPartOf,wikipathways,WP3929,Chemokine signaling pathway 
pathbank,PW000015,Caffeine Metabolism,isPartOf,wikipathways,WP3633,Caffeine and Theobromine metabolism 
pathbank,PW000017,Catecholamine Biosynthesis,isPartOf,wikipathways,WP550,Biogenic Amine Synthesis 
wikipathways,WP727,Monoamine Transport,isPartOf,pathbank,PW000017,Catecholamine Biosynthesis
wikipathways,WP3594,Circadian rythm related genes,isPartOf,pathbank,PW091851,Circadian Rhythms
pathbank,PW000005,Citric Acid Cycle,equivalentTo,wikipathways,WP78,TCA Cycle 
pathbank,PW065057,Classical Complement Pathway,equivalentTo,wikipathways,WP545,Complement Activation
pathbank,PW065057,Classical Complement Pathway,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades 
pathbank,PW000562,Coagulation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades 
pathbank,PW064819,Complement Pathway,equivalentTo,wikipathways,WP545,Complement Activation
pathbank,PW064819,Complement Pathway,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades 
pathbank,PW000442,Corticotropin Activation of Cortisol Production,isPartOf,wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism 
pathbank,PW000018,Cysteine Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000018,Cysteine Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW000456,DNA Replication Fork,isPartOf,wikipathways,WP466,DNA Replication 
pathbank,PW016768,De Novo Triacylglycerol Biosynthesis,isPartOf,wikipathways,WP325,Triacylglyceride Synthesis 
pathbank,PW064815,EGF Signalling Pathway,isPartOf,wikipathways,WP437,EGF/EGFR Signaling Pathway 
pathbank,PW031778,Estrone Metabolism,isPartOf,wikipathways,WP697,Estrogen metabolism 
pathbank,PW000167,Fatty Acid Biosynthesis,equivalentTo,wikipathways,WP357,Fatty Acid Biosynthesis 
pathbank,PW000024,Folate Metabolism,equivalentTo,wikipathways,WP176,Folate Metabolism 
wikipathways,WP2597,Secretion of Hydrochloric Acid in Parietal Cells,isPartOf,pathbank,PW000565,Gastric Acid Production
pathbank,PW000152,Gluconeogenesis,isPartOf,wikipathways,WP534,Glycolysis and Gluconeogenesis 
pathbank,PW000003,Glutamate Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW000003,Glutamate Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism
pathbank,PW002366,Glutaminolysis and Cancer,isPartOf,wikipathways,WP1971,Integrated Cancer Pathway
pathbank,PW000004,Glutathione Metabolism,equivalentTo,wikipathways,WP100,Glutathione metabolism 
pathbank,PW000157,Glycine and Serine Metabolism,isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups 
pathbank,PW000157,Glycine and Serine Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism
pathbank,PW000146,Glycolysis,isPartOf,wikipathways,WP534,Glycolysis and Gluconeogenesis 
pathbank,PW064811,Growth Hormone Signaling Pathway,isPartOf,wikipathways,WP2657,Growth hormone receptor signaling (Homo sapiens)
pathbank,PW000043,Histidine Metabolism,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000454,Insulin Signalling,equivalentTo,wikipathways,WP3634,Insulin signalling in human adipocytes (normal condition) 
pathbank,PW000454,Insulin Signalling,isPartOf,wikipathways,WP661,Glucose Homeostasis 
pathbank,PW122328,Kandutsch-Russell Pathway (Cholesterol Biosynthesis),isPartOf,wikipathways,WP197,Cholesterol Biosynthesis 
pathbank,PW122328,Kandutsch-Russell Pathway (Cholesterol Biosynthesis),isPartOf,wikipathways,WP496,Steroid Biosynthesis 
pathbank,PW000028,Ketone Body Metabolism,equivalentTo,wikipathways,WP311,Synthesis and Degradation of Ketone Bodies 
pathbank,PW064906,Lectin-Induced Complement Pathway,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades 
pathbank,PW064906,Lectin-Induced Complement Pathway,isPartOf,wikipathways,WP545,Complement Activation 
pathbank,PW000659,Leucine Stimulation on Insulin Signaling,isPartOf,wikipathways,WP3634,Insulin signalling in human adipocytes (normal condition) 
pathbank,PW000029,Lysine Degradation,isPartOf,wikipathways,WP3925,Amino Acid metabolism 
pathbank,PW000173,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,equivalentTo,wikipathways,WP368,Mitochondrial LC-Fatty Acid Beta-Oxidation 
pathbank,PW000173,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,isPartOf,wikipathways,WP143,Fatty Acid Beta Oxidation 
pathbank,PW000172,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,isPartOf,wikipathways,WP143,Fatty Acid Beta Oxidation 
pathbank,PW000171,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,isPartOf,wikipathways,WP143,Fatty Acid Beta Oxidation 
pathbank,PW000165,Mitochondrial Electron Transport Chain,equivalentTo,wikipathways,WP111,Electron Transport Chain 
pathbank,PW084315,NAD+ Signalling Pathway (Cancer),isPartOf,wikipathways,WP1971,Integrated Cancer Pathway 
