Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
reactome,R-HSA-5682113,Defective ABCA1 causes Tangier disease,isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5682294,Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B,isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5683678,Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3),isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5678520,Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2,isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5678771,"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5683371,Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7),isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5679001,Defective ABCC2 causes Dubin-Johnson syndrome,isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5690338,Defective ABCC6 causes pseudoxanthoma elasticum (PXE),isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5683177,Defective ABCC8 can cause hypoglycemias and hyperglycemias,isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5678420,"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5684045,Defective ABCD1 causes adrenoleukodystrophy (ALD),isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
reactome,R-HSA-5683329,"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",isPartOf,reactome,R-HSA-5619084,ABC transporter disorders
