Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
reactome,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,isPartOf,wikipathways,WP1403,AMP-activated Protein Kinase (AMPK) Signaling
reactome,R-HSA-176187,Activation of ATR in response to replication stress,isPartOf,wikipathways,WP3875,ATR Signaling
wikipathways,WP528,Acetylcholine Synthesis,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP699,Aflatoxin B1 metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-5423646,Aflatoxin activation and detoxification,isPartOf,wikipathways,WP699,Aflatoxin B1 metabolism
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,reactome,R-HSA-70614,Amino acid synthesis and interconversion (transamination)
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP2328,Allograft Rejection,isPartOf,reactome,R-HSA-1280218,Adaptive Immune System
wikipathways,WP2328,Allograft Rejection,isPartOf,reactome,R-HSA-168256,Immune System
reactome,R-HSA-112412,SOS-mediated signalling,isPartOf,wikipathways,WP244,Alpha 6 Beta 4 signaling pathway
wikipathways,WP244,Alpha 6 Beta 4 signaling pathway,isPartOf,reactome,R-HSA-162582,Signal Transduction
wikipathways,WP3925,Amino Acid metabolism,equivalentTo,reactome,R-HSA-71291,Metabolism of amino acids and derivatives
wikipathways,WP3925,Amino Acid metabolism,isPartOf,reactome,R-HSA-71291,Metabolism of amino acids and derivatives
wikipathways,WP3925,Amino Acid metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP521,Amino acid conjugation of benzoic acid,isPartOf,reactome,R-HSA-159424,Conjugation of carboxylic acids
wikipathways,WP521,Amino acid conjugation of benzoic acid,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP521,Amino acid conjugation of benzoic acid,isPartOf,reactome,R-HSA-156587,Amino Acid conjugation
reactome,R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,isPartOf,wikipathways,WP3678,Amplification and Expansion of Oncogenic Pathways as Metastatic Traits
wikipathways,WP254,Apoptosis,equivalentTo,reactome,R-HSA-109581,Apoptosis
reactome,R-HSA-69416,Dimerization of procaspase-8,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111461,Cytochrome c-mediated apoptotic response,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111457,Release of apoptotic factors from the mitochondria,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-75157,FasL/ CD95L signaling,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111458,Formation of apoptosome,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-5218900,CASP8 activity is inhibited,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111471,Apoptotic factor-mediated response,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-114294,"Activation, translocation and oligomerization of BAX",isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111452,Activation and oligomerization of BAK protein,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
reactome,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
wikipathways,WP1772,Apoptosis Modulation and Signaling,isPartOf,reactome,R-HSA-109581,Apoptosis
reactome,R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,isPartOf,wikipathways,WP1772,Apoptosis Modulation and Signaling
wikipathways,WP384,Apoptosis Modulation by HSP70,isPartOf,reactome,R-HSA-111471,Apoptotic factor-mediated response
wikipathways,WP384,Apoptosis Modulation by HSP70,isPartOf,reactome,R-HSA-109581,Apoptosis
wikipathways,WP384,Apoptosis Modulation by HSP70,isPartOf,reactome,R-HSA-5357801,Programmed Cell Death
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,reactome,R-HSA-556833,Metabolism of lipids
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,reactome,R-HSA-211859,Biological oxidations
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,reactome,R-HSA-8978868,Fatty acid metabolism
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,reactome,R-HSA-2142753,Arachidonic acid metabolism
wikipathways,WP2586,Aryl Hydrocarbon Receptor,equivalentTo,reactome,R-HSA-8937144,Aryl hydrocarbon receptor signalling
wikipathways,WP2873,Aryl Hydrocarbon Receptor Pathway,equivalentTo,reactome,R-HSA-8937144,Aryl hydrocarbon receptor signalling
wikipathways,WP694,Arylamine metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP23,B Cell Receptor Signaling Pathway,equivalentTo,reactome,R-HSA-983705,Signaling by the B Cell Receptor (BCR)
wikipathways,WP23,B Cell Receptor Signaling Pathway,isPartOf,reactome,R-HSA-1280218,Adaptive Immune System
wikipathways,WP23,B Cell Receptor Signaling Pathway,isPartOf,reactome,R-HSA-168256,Immune System
wikipathways,WP3676,BDNF-TrkB Signaling,isPartOf,reactome,R-HSA-162582,Signal Transduction
wikipathways,WP3891,Benzene metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP696,Benzo(a)pyrene metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-380612,Metabolism of serotonin,isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
reactome,R-HSA-888568,GABA synthesis,isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
reactome,R-HSA-209931,Serotonin and melatonin biosynthesis,isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
reactome,R-HSA-888590,"GABA synthesis, release, reuptake and degradation",isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
reactome,R-HSA-209905,Catecholamine biosynthesis,isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
wikipathways,WP550,Biogenic Amine Synthesis,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,reactome,R-HSA-8978934,Metabolism of cofactors
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,reactome,R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,reactome,R-HSA-196854,Metabolism of vitamins and cofactors
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,isPartOf,wikipathways,WP272,Blood Clotting Cascade
reactome,R-HSA-75205,Dissolution of Fibrin Clot,isPartOf,wikipathways,WP272,Blood Clotting Cascade
wikipathways,WP272,Blood Clotting Cascade,isPartOf,reactome,R-HSA-109582,Hemostasis
reactome,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),isPartOf,wikipathways,WP272,Blood Clotting Cascade
wikipathways,WP1425,Bone Morphogenic Protein (BMP) Signalling and Regulation,equivalentTo,reactome,R-HSA-201451,Signaling by BMP
wikipathways,WP2366,Butyrate-induced histone acetylation,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP3633,Caffeine and Theobromine metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,isPartOf,wikipathways,WP3633,Caffeine and Theobromine metabolism
wikipathways,WP3633,Caffeine and Theobromine metabolism,isPartOf,reactome,R-HSA-211981,Xenobiotics
reactome,R-HSA-390648,Muscarinic acetylcholine receptors,isPartOf,wikipathways,WP536,Calcium Regulation in the Cardiac Cell
reactome,R-HSA-190827,Transport of connexins along the secretory pathway,isPartOf,wikipathways,WP536,Calcium Regulation in the Cardiac Cell
wikipathways,WP3869,Cannabinoid receptor signaling,isPartOf,reactome,R-HSA-162582,Signal Transduction
wikipathways,WP3845,Canonical  and Non-canonical Notch signaling,equivalentTo,reactome,R-HSA-157118,Signaling by NOTCH
reactome,R-HSA-9012852,Signaling by NOTCH3,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-9013694,Signaling by NOTCH4,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-350054,Notch-HLH transcription pathway,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
wikipathways,WP3845,Canonical  and Non-canonical Notch signaling,isPartOf,reactome,R-HSA-162582,Signal Transduction
reactome,R-HSA-1980143,Signaling by NOTCH1,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-2660825,Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-157118,Signaling by NOTCH,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-1980145,Signaling by NOTCH2,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-1912399,Pre-NOTCH Processing in the Endoplasmic Reticulum,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-5083630,Defective LFNG causes SCDO3,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-8941856,RUNX3 regulates NOTCH signaling,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
reactome,R-HSA-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus,isPartOf,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
wikipathways,WP3874,Canonical and Non-Canonical TGF-B signaling,equivalentTo,reactome,R-HSA-170834,Signaling by TGF-beta Receptor Complex
reactome,R-HSA-3304351,Signaling by TGF-beta Receptor Complex in Cancer,isPartOf,wikipathways,WP3874,Canonical and Non-Canonical TGF-B signaling
wikipathways,WP179,Cell Cycle,equivalentTo,reactome,R-HSA-1640170,Cell Cycle
reactome,R-HSA-380108,Chemokine receptors bind chemokines,isPartOf,wikipathways,WP3929,Chemokine signaling pathway
wikipathways,WP197,Cholesterol Biosynthesis,equivalentTo,reactome,R-HSA-191273,Cholesterol biosynthesis
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,reactome,R-HSA-556833,Metabolism of lipids
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,reactome,R-HSA-1430728,Metabolism
reactome,R-HSA-6807047,Cholesterol biosynthesis via desmosterol,isPartOf,wikipathways,WP197,Cholesterol Biosynthesis
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,reactome,R-HSA-8957322,Metabolism of steroids
reactome,R-HSA-6807062,Cholesterol biosynthesis via lathosterol,isPartOf,wikipathways,WP197,Cholesterol Biosynthesis
reactome,R-HSA-3315487,SMAD2/3 MH2 Domain Mutants in Cancer,isPartOf,wikipathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer
reactome,R-HSA-3311021,SMAD4 MH2 Domain Mutants in Cancer,isPartOf,wikipathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer
reactome,R-HSA-3304347,Loss of Function of SMAD4 in Cancer,isPartOf,wikipathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer
wikipathways,WP2826,Cocaine metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP1604,Codeine and Morphine Metabolism,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP2536,Colchicine Metabolic Pathway,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP545,Complement Activation,equivalentTo,reactome,R-HSA-166658,Complement cascade
reactome,R-HSA-977606,Regulation of Complement cascade,isPartOf,wikipathways,WP545,Complement Activation
reactome,R-HSA-174577,Activation of C3 and C5,isPartOf,wikipathways,WP545,Complement Activation
reactome,R-HSA-166665,Terminal pathway of complement,isPartOf,wikipathways,WP545,Complement Activation
reactome,R-HSA-166663,Initial triggering of complement,isPartOf,wikipathways,WP545,Complement Activation
reactome,R-HSA-166662,Lectin pathway of complement activation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-76002,"Platelet activation, signaling and aggregation",isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-977606,Regulation of Complement cascade,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-174577,Activation of C3 and C5,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-166665,Terminal pathway of complement,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-109582,Hemostasis,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-140875,Common Pathway of Fibrin Clot Formation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-168256,Immune System,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-75205,Dissolution of Fibrin Clot,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-173736,Alternative complement activation,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
reactome,R-HSA-166658,Complement cascade,isPartOf,wikipathways,WP558,Complement and Coagulation Cascades
wikipathways,WP3601,Composition of Lipid Particles,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP3286,Copper homeostasis,isPartOf,reactome,R-HSA-1222541,Cell redox homeostasis
wikipathways,WP1946,Cori Cycle,isPartOf,reactome,R-HSA-1430728,Metabolism
wikipathways,WP1946,Cori Cycle,isPartOf,reactome,R-HSA-70326,Glucose metabolism
wikipathways,WP1946,Cori Cycle,isPartOf,reactome,R-HSA-71387,Metabolism of carbohydrates
wikipathways,WP2355,Corticotropin-releasing hormone signaling pathway,isPartOf,reactome,R-HSA-194002,Glucocorticoid biosynthesis
wikipathways,WP530,Cytokines and Inflammatory Response,equivalentTo,reactome,R-HSA-1280215,Cytokine Signaling in Immune system
reactome,R-HSA-448706,Interleukin-1 processing,isPartOf,wikipathways,WP530,Cytokines and Inflammatory Response
reactome,R-HSA-6785807,Interleukin-4 and 13 signaling,isPartOf,wikipathways,WP530,Cytokines and Inflammatory Response
reactome,R-HSA-449147,Signaling by Interleukins,isPartOf,wikipathways,WP530,Cytokines and Inflammatory Response
wikipathways,WP530,Cytokines and Inflammatory Response,isPartOf,reactome,R-HSA-168256,Immune System
wikipathways,WP3585,Cytosine methylation,isPartOf,reactome,R-HSA-5334118,DNA methylation
