Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
decopath	DC1-1	Amino acid metabolism and derivatives	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-1-1	Alanine, aspartate and glutamate metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	decopath	DC1-1-1	Alanine, aspartate and glutamate metabolism
decopath	DC1-1-2	Cysteine and methionine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-3	D-Arginine and D-ornithine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-4	Arginine and proline metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-5	Selenocompound metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-6	Melanin biosynthesis	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-7	Taurine and hypotaurine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-8	Thiamine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-9	Valine, leucine and isoleucine degradation	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-10	Lysine degradation	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-11	Urea cycle	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-12	Arginine biosynthesis	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-13	Tyrosine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-14	Tryptophan metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-15	Histidine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-16	Glutathione metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-17	Beta-Alanine metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-18	Cysteine formation from homocysteine	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
decopath	DC1-1-19	Sulfur metabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
kegg	path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
reactome	R-HSA-70895	Branched-chain amino acid catabolism	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
kegg	path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
wikipathways	WP3925	Amino Acid metabolism (Homo sapiens)	skos:exactMatch	reactome	R-HSA-71291	Metabolism of amino acids and derivatives 
wikipathways	WP3925	Amino Acid metabolism (Homo sapiens)	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
reactome	R-HSA-71291	Metabolism of amino acids and derivatives 	BFO:0000050	decopath	DC1-1	Amino acid metabolism and derivatives
kegg	path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	BFO:0000050	decopath	DC1-1-1	Alanine, aspartate and glutamate metabolism
wikipathways	WP3580	Methionine De Novo and Salvage Pathway	skos:exactMatch	reactome	R-HSA-1237112	Methionine salvage pathway
wikipathways	WP3580	Methionine De Novo and Salvage Pathway	BFO:0000050	decopath	DC1-1-2-1	Methionine salvage pathway
reactome	R-HSA-1237112	Methionine salvage pathway	BFO:0000050	decopath	DC1-1-2-1	Methionine salvage pathway
decopath	DC1-1-2-1	Methionine salvage pathway	BFO:0000050	decopath	DC1-1-2	Cysteine and methionine metabolism
