Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
kegg.pathway	hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
kegg.pathway	hsa04152	AMPK signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP1403	AMP-activated Protein Kinase (AMPK) Signaling
wikipathways	WP3934	Leptin and adiponectin	BFO:0000050	kegg.pathway	hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)
kegg.pathway	hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	kegg.pathway	hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
kegg.pathway	hsa05034	Alcoholism - Homo sapiens (human)	BFO:0000050	wikipathways	WP2636	Common Pathways Underlying Drug Addiction
kegg.pathway	hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	BFO:0000050	wikipathways	WP237	Glucocorticoid and Mineralcorticoid Metabolism
kegg.pathway	hsa05330	Allograft rejection - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2328	Allograft Rejection
kegg.pathway	hsa05010	Alzheimer disease - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2059	Alzheimers Disease
kegg.pathway	hsa05031	Amphetamine addiction - Homo sapiens (human)	BFO:0000050	wikipathways	WP2636	Common Pathways Underlying Drug Addiction
kegg.pathway	hsa05014	Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2447	Amyotrophic lateral sclerosis (ALS)
kegg.pathway	hsa04210	Apoptosis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP254	Apoptosis
wikipathways	WP384	Apoptosis Modulation by HSP70	BFO:0000050	kegg.pathway	hsa04210	Apoptosis - Homo sapiens (human)
wikipathways	WP2507	Nanomaterial induced apoptosis	BFO:0000050	kegg.pathway	hsa04210	Apoptosis - Homo sapiens (human)
wikipathways	WP1772	Apoptosis Modulation and Signaling	BFO:0000050	kegg.pathway	hsa04210	Apoptosis - Homo sapiens (human)
wikipathways	WP2507	Nanomaterial induced apoptosis	BFO:0000050	kegg.pathway	hsa04215	Apoptosis - multiple species - Homo sapiens (human)
wikipathways	WP384	Apoptosis Modulation by HSP70	BFO:0000050	kegg.pathway	hsa04215	Apoptosis - multiple species - Homo sapiens (human)
wikipathways	WP1772	Apoptosis Modulation and Signaling	BFO:0000050	kegg.pathway	hsa04215	Apoptosis - multiple species - Homo sapiens (human)
kegg.pathway	hsa00330	Arginine and proline metabolism - Homo sapiens (human)	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
kegg.pathway	hsa00330	Arginine and proline metabolism - Homo sapiens (human)	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups
kegg.pathway	hsa00220	Arginine biosynthesis - Homo sapiens (human)	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
kegg.pathway	hsa00220	Arginine biosynthesis - Homo sapiens (human)	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups
kegg.pathway	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
kegg.pathway	hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP23	B Cell Receptor Signaling Pathway
wikipathways	WP405	Eukaryotic Transcription Initiation	BFO:0000050	kegg.pathway	hsa03022	Basal transcription factors - Homo sapiens (human)
wikipathways	WP2289	Drug Induction of Bile Acid Pathway	BFO:0000050	kegg.pathway	hsa04976	Bile secretion - Homo sapiens (human)
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	kegg.pathway	hsa01230	Biosynthesis of amino acids - Homo sapiens (human)
wikipathways	WP497	Urea cycle and metabolism of amino groups	BFO:0000050	kegg.pathway	hsa01230	Biosynthesis of amino acids - Homo sapiens (human)
kegg.pathway	hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	BFO:0000050	wikipathways	WP357	Fatty Acid Biosynthesis
kegg.pathway	hsa05219	Bladder cancer - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2828	Bladder Cancer
kegg.pathway	hsa00232	Caffeine metabolism - Homo sapiens (human)	BFO:0000050	wikipathways	WP3633	Caffeine and Theobromine metabolism
wikipathways	WP1946	Cori Cycle	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human)
wikipathways	WP134	Pentose Phosphate Pathway	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human)
wikipathways	WP534	Glycolysis and Gluconeogenesis	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human)
