Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
pathbank	PW000001	Alanine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000001	Alanine Metabolism	BFO:0000050	kegg.pathway	hsa01230	Biosynthesis of amino acids - Homo sapiens (human) 
pathbank	PW000001	Alanine Metabolism	BFO:0000050	kegg.pathway	hsa00250	Alanine,aspartate and glutamate metabolism - Homo sapiens (human)
pathbank	PW122401	Aldosterone from Steroidogenesis	BFO:0000050	kegg.pathway	hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human) 
pathbank	PW122401	Aldosterone from Steroidogenesis	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
kegg.pathway	hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	BFO:0000050	pathbank	PW000006	Alpha Linolenic Acid and Linoleic Acid Metabolism
pathbank	PW064820	Alternative Complement Pathway	BFO:0000050	kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human) 
pathbank	PW000008	Amino Sugar Metabolism	BFO:0000050	kegg.pathway	hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human) 
pathbank	PW000563	Angiotensin Metabolism	BFO:0000050	kegg.pathway	hsa04614	Renin-angiotensin system - Homo sapiens (human) 
pathbank	PW000044	Arachidonic Acid Metabolism	skos:exactMatch	kegg.pathway	hsa00590	Arachidonic acid metabolism - Homo sapiens (human) 
pathbank	PW000010	Arginine and Proline Metabolism	skos:exactMatch	kegg.pathway	hsa00330	Arginine and proline metabolism - Homo sapiens (human) 
pathbank	PW000010	Arginine and Proline Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000010	Arginine and Proline Metabolism	BFO:0000050	kegg.pathway	hsa01230	Biosynthesis of amino acids - Homo sapiens (human) 
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	kegg.pathway	hsa01230	Biosynthesis of amino acids - Homo sapiens (human) 
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	kegg.pathway	hsa00250	Alanine,aspartate and glutamate metabolism - Homo sapiens (human)
pathbank	PW070885	BCR Signaling Pathway	skos:exactMatch	kegg.pathway	hsa04662	B cell receptor signaling pathway - Homo sapiens (human) 
pathbank	PW000161	Beta Oxidation of Very Long Chain Fatty Acids	BFO:0000050	kegg.pathway	hsa01212	Fatty acid metabolism - Homo sapiens (human) 
pathbank	PW000161	Beta Oxidation of Very Long Chain Fatty Acids	BFO:0000050	kegg.pathway	hsa00071	Fatty acid degradation - Homo sapiens (human) 
pathbank	PW000161	Beta Oxidation of Very Long Chain Fatty Acids	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000012	Betaine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000145	Bile Acid Biosynthesis	skos:exactMatch	kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human) 
pathbank	PW000145	Bile Acid Biosynthesis	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000013	Biotin Metabolism	skos:exactMatch	kegg.pathway	hsa00780	Biotin metabolism - Homo sapiens (human) 
pathbank	PW122325	Bloch Pathway (Cholesterol Biosynthesis)	BFO:0000050	kegg.pathway	hsa04979	Cholesterol metabolism - Homo sapiens (human) 
pathbank	PW122325	Bloch Pathway (Cholesterol Biosynthesis)	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000014	Butyrate Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW065635	CXCR4 Signaling Pathway	BFO:0000050	kegg.pathway	hsa04062	Chemokine signaling pathway - Homo sapiens (human) 
pathbank	PW000015	Caffeine Metabolism	skos:exactMatch	kegg.pathway	hsa00232	Caffeine metabolism - Homo sapiens (human) 
pathbank	PW000015	Caffeine Metabolism	BFO:0000050	kegg.pathway	hsa00983	Drug metabolism - other enzymes - Homo sapiens (human) 
pathbank	PW000015	Caffeine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW091851	Circadian Rhythms	skos:exactMatch	kegg.pathway	hsa04710	Circadian rhythm - Homo sapiens (human) 
pathbank	PW000005	Citric Acid Cycle	skos:exactMatch	kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human) 
pathbank	PW000005	Citric Acid Cycle	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human) 
pathbank	PW000005	Citric Acid Cycle	BFO:0000050	kegg.pathway	hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human) 
pathbank	PW065057	Classical Complement Pathway	BFO:0000050	kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human) 
pathbank	PW000562	Coagulation	BFO:0000050	kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human) 
pathbank	PW064819	Complement Pathway	BFO:0000050	kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human) 
pathbank	PW000442	Corticotropin Activation of Cortisol Production	BFO:0000050	kegg.pathway	hsa04927	Cortisol synthesis and secretion - Homo sapiens (human) 
pathbank	PW000018	Cysteine Metabolism	BFO:0000050	kegg.pathway	hsa00270	Cysteine and methionine metabolism - Homo sapiens (human) 
pathbank	PW000018	Cysteine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000019	D-Arginine and D-Ornithine Metabolism	skos:exactMatch	kegg.pathway	hsa00472	D-Arginine and D-ornithine metabolism - Homo sapiens (human) 
pathbank	PW000019	D-Arginine and D-Ornithine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000456	DNA Replication Fork	BFO:0000050	kegg.pathway	hsa03030	DNA replication - Homo sapiens (human) 
pathbank	PW016768	De Novo Triacylglycerol Biosynthesis	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW016768	De Novo Triacylglycerol Biosynthesis	BFO:0000050	kegg.pathway	hsa00561	Glycerolipid metabolism - Homo sapiens (human) 
pathbank	PW016768	De Novo Triacylglycerol Biosynthesis	BFO:0000050	kegg.pathway	hsa00564	Glycerophospholipid metabolism - Homo sapiens (human) 
pathbank	PW000440	Dopamine Activation of Neurological Reward System	BFO:0000050	kegg.pathway	hsa04728	Dopaminergic synapse - Homo sapiens (human) 
pathbank	PW031778	Estrone Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000167	Fatty Acid Biosynthesis	skos:exactMatch	kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human) 
pathbank	PW000022	Fatty Acid Elongation in Mitochondria	BFO:0000050	kegg.pathway	hsa00062	Fatty acid elongation - Homo sapiens (human) 
pathbank	PW000023	Fatty Acid Metabolism	skos:exactMatch	kegg.pathway	hsa01212	Fatty acid metabolism - Homo sapiens (human) 
pathbank	PW000023	Fatty Acid Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000453	Fc Epsilon Receptor I Signaling in Mast Cells	skos:exactMatch	kegg.pathway	hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human) 
pathbank	PW000024	Folate Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000159	Galactose Metabolism	skos:exactMatch	kegg.pathway	hsa00052	Galactose metabolism - Homo sapiens (human) 
kegg.pathway	hsa04971	Gastric acid secretion - Homo sapiens (human)	BFO:0000050	pathbank	PW000565	Gastric Acid Production
pathbank	PW000152	Gluconeogenesis	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000152	Gluconeogenesis	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human) 
pathbank	PW000152	Gluconeogenesis	BFO:0000050	kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human) 
pathbank	PW000003	Glutamate Metabolism	BFO:0000050	kegg.pathway	hsa00471	D-Glutamine and D-glutamate metabolism - Homo sapiens (human) 
pathbank	PW000003	Glutamate Metabolism	BFO:0000050	kegg.pathway	hsa00250	Alanine,aspartate and glutamate metabolism - Homo sapiens (human)
pathbank	PW000003	Glutamate Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW002366	Glutaminolysis and Cancer	BFO:0000050	kegg.pathway	hsa05200	Pathways in cancer - Homo sapiens (human) 
pathbank	PW000004	Glutathione Metabolism	skos:exactMatch	kegg.pathway	hsa00480	Glutathione metabolism - Homo sapiens (human) 
pathbank	PW000004	Glutathione Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000144	Glycerolipid Metabolism	skos:exactMatch	kegg.pathway	hsa00561	Glycerolipid metabolism - Homo sapiens (human) 
pathbank	PW000144	Glycerolipid Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000157	Glycine and Serine Metabolism	BFO:0000050	kegg.pathway	hsa00260	Glycine,serine and threonine metabolism
pathbank	PW000157	Glycine and Serine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000146	Glycolysis	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000146	Glycolysis	BFO:0000050	kegg.pathway	hsa01200	Carbon metabolism - Homo sapiens (human) 
pathbank	PW000146	Glycolysis	BFO:0000050	kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human) 
pathbank	PW064816	GnRH Signaling Pathway	skos:exactMatch	kegg.pathway	hsa04912	GnRH signaling pathway - Homo sapiens (human)
pathbank	PW000043	Histidine Metabolism	skos:exactMatch	kegg.pathway	hsa00340	Histidine metabolism - Homo sapiens (human) 
pathbank	PW000043	Histidine Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000027	Homocysteine Degradation	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000143	Inositol Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000156	Inositol Phosphate Metabolism	skos:exactMatch	kegg.pathway	hsa00562	Inositol phosphate metabolism - Homo sapiens (human) 
pathbank	PW000156	Inositol Phosphate Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000454	Insulin Signalling	skos:exactMatch	kegg.pathway	hsa04910	Insulin signaling pathway - Homo sapiens (human) 
pathbank	PW122328	Kandutsch-Russell Pathway (Cholesterol Biosynthesis)	BFO:0000050	kegg.pathway	hsa04979	Cholesterol metabolism - Homo sapiens (human) 
pathbank	PW122328	Kandutsch-Russell Pathway (Cholesterol Biosynthesis)	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW000028	Ketone Body Metabolism	skos:exactMatch	kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human) 
pathbank	PW000028	Ketone Body Metabolism	BFO:0000050	kegg.pathway	hsa01100	Metabolic pathways - Homo sapiens (human)
pathbank	PW064906	Lectin-Induced Complement Pathway	BFO:0000050	kegg.pathway	hsa04610	Complement and coagulation cascades - Homo sapiens (human) 
pathbank	PW000659	Leucine Stimulation on Insulin Signaling	BFO:0000050	kegg.pathway	hsa04910	Insulin signaling pathway - Homo sapiens (human) 
pathbank	PW000029	Lysine Degradation	skos:exactMatch	kegg.pathway	hsa00310	Lysine degradation - Homo sapiens (human) 
