Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
pathbank	PW122411	2-Amino-3-carboxymuconate semialdehyde Degradation	BFO:0000050	wikipathways	WP4210	Tryptophan catabolism leading to NAD+ production 
pathbank	PW064763	Ahr Signal Transduction Pathway	skos:exactMatch	wikipathways	WP2586	Aryl Hydrocarbon Receptor 
pathbank	PW064763	Ahr Signal Transduction Pathway	skos:exactMatch	wikipathways	WP2873	Aryl Hydrocarbon Receptor Pathway 
pathbank	PW000001	Alanine Metabolism	BFO:0000050	wikipathways	WP106	Alanine and aspartate metabolism 
pathbank	PW000001	Alanine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000001	Alanine Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW122401	Aldosterone from Steroidogenesis	BFO:0000050	wikipathways	WP237	Glucocorticoid and Mineralcorticoid Metabolism 
pathbank	PW064820	Alternative Complement Pathway	BFO:0000050	wikipathways	WP545	Complement Activation 
pathbank	PW064820	Alternative Complement Pathway	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades 
wikipathways	WP697	Estrogen metabolism	BFO:0000050	pathbank	PW000045	Androgen and Estrogen Metabolism
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	pathbank	PW000044	Arachidonic Acid Metabolism
wikipathways	WP167	Eicosanoid Synthesis	BFO:0000050	pathbank	PW000044	Arachidonic Acid Metabolism
pathbank	PW000010	Arginine and Proline Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000010	Arginine and Proline Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	wikipathways	WP106	Alanine and aspartate metabolism 
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000002	Aspartate Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW070885	BCR Signaling Pathway	skos:exactMatch	wikipathways	WP23	B Cell Receptor Signaling Pathway 
pathbank	PW000161	Beta Oxidation of Very Long Chain Fatty Acids	BFO:0000050	wikipathways	WP143	Fatty Acid Beta Oxidation 
wikipathways	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	BFO:0000050	pathbank	PW000161	Beta Oxidation of Very Long Chain Fatty Acids
wikipathways	WP2289	Drug Induction of Bile Acid Pathway	BFO:0000050	pathbank	PW000145	Bile Acid Biosynthesis
pathbank	PW122325	Bloch Pathway (Cholesterol Biosynthesis)	BFO:0000050	wikipathways	WP197	Cholesterol Biosynthesis 
pathbank	PW122325	Bloch Pathway (Cholesterol Biosynthesis)	BFO:0000050	wikipathways	WP496	Steroid Biosynthesis 
pathbank	PW065635	CXCR4 Signaling Pathway	BFO:0000050	wikipathways	WP3929	Chemokine signaling pathway 
pathbank	PW000015	Caffeine Metabolism	BFO:0000050	wikipathways	WP3633	Caffeine and Theobromine metabolism 
pathbank	PW000017	Catecholamine Biosynthesis	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
