Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
reactome	R-HSA-9613829	Chaperone Mediated Autophagy	BFO:0000050	reactome	R-HSA-9612973	Autophagy
reactome	R-HSA-9615710	Late endosomal microautophagy	BFO:0000050	reactome	R-HSA-9612973	Autophagy
reactome	R-HSA-1632852	Macroautophagy	BFO:0000050	reactome	R-HSA-9612973	Autophagy
reactome	R-HSA-9663891	Selective autophagy	BFO:0000050	reactome	R-HSA-1632852	Macroautophagy
reactome	R-HSA-9646399	Aggrephagy	BFO:0000050	reactome	R-HSA-9663891	Selective autophagy
reactome	R-HSA-9613354	Lipophagy	BFO:0000050	reactome	R-HSA-9663891	Selective autophagy
reactome	R-HSA-5205647	Mitophagy	BFO:0000050	reactome	R-HSA-9663891	Selective autophagy
reactome	R-HSA-9664873	Pexophagy	BFO:0000050	reactome	R-HSA-9663891	Selective autophagy
reactome	R-HSA-5205685	Pink/Parkin Mediated Mitophagy	BFO:0000050	reactome	R-HSA-5205647	Mitophagy
reactome	R-HSA-8934903	Receptor Mediated Mitophagy	BFO:0000050	reactome	R-HSA-5205647	Mitophagy
reactome	R-HSA-69620	Cell Cycle Checkpoints	BFO:0000050	reactome	R-HSA-1640170	Cell Cycle
reactome	R-HSA-69278	Cell Cycle, Mitotic	BFO:0000050	reactome	R-HSA-1640170	Cell Cycle
reactome	R-HSA-73886	Chromosome Maintenance	BFO:0000050	reactome	R-HSA-1640170	Cell Cycle
reactome	R-HSA-1500620	Meiosis	BFO:0000050	reactome	R-HSA-1640170	Cell Cycle
reactome	R-HSA-69615	G1/S DNA Damage Checkpoints	BFO:0000050	reactome	R-HSA-69620	Cell Cycle Checkpoints
reactome	R-HSA-69481	G2/M Checkpoints	BFO:0000050	reactome	R-HSA-69620	Cell Cycle Checkpoints
reactome	R-HSA-69618	Mitotic Spindle Checkpoint	BFO:0000050	reactome	R-HSA-69620	Cell Cycle Checkpoints
reactome	R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	BFO:0000050	reactome	R-HSA-69615	G1/S DNA Damage Checkpoints
reactome	R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	BFO:0000050	reactome	R-HSA-69615	G1/S DNA Damage Checkpoints
reactome	R-HSA-69563	p53-Dependent G1 DNA Damage Response	BFO:0000050	reactome	R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint
reactome	R-HSA-69541	Stabilization of p53	BFO:0000050	reactome	R-HSA-69563	p53-Dependent G1 DNA Damage Response
reactome	R-HSA-69560	Transcriptional activation of p53 responsive genes	BFO:0000050	reactome	R-HSA-69563	p53-Dependent G1 DNA Damage Response
