Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
reactome	R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	BFO:0000050	wikipathways	WP1403	AMP-activated Protein Kinase (AMPK) Signaling
reactome	R-HSA-176187	Activation of ATR in response to replication stress	BFO:0000050	wikipathways	WP3875	ATR Signaling
wikipathways	WP528	Acetylcholine Synthesis	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP699	Aflatoxin B1 metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
reactome	R-HSA-5423646	Aflatoxin activation and detoxification	BFO:0000050	wikipathways	WP699	Aflatoxin B1 metabolism
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	reactome	R-HSA-71291	Metabolism of amino acids and derivatives
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	reactome	R-HSA-70614	Amino acid synthesis and interconversion (transamination)
wikipathways	WP106	Alanine and aspartate metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP2328	Allograft Rejection	BFO:0000050	reactome	R-HSA-1280218	Adaptive Immune System
wikipathways	WP2328	Allograft Rejection	BFO:0000050	reactome	R-HSA-168256	Immune System
reactome	R-HSA-112412	SOS-mediated signalling	BFO:0000050	wikipathways	WP244	Alpha 6 Beta 4 signaling pathway
wikipathways	WP244	Alpha 6 Beta 4 signaling pathway	BFO:0000050	reactome	R-HSA-162582	Signal Transduction
wikipathways	WP3925	Amino Acid metabolism	skos:exactMatch	reactome	R-HSA-71291	Metabolism of amino acids and derivatives
wikipathways	WP3925	Amino Acid metabolism	BFO:0000050	reactome	R-HSA-71291	Metabolism of amino acids and derivatives
wikipathways	WP3925	Amino Acid metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP521	Amino acid conjugation of benzoic acid	BFO:0000050	reactome	R-HSA-159424	Conjugation of carboxylic acids
wikipathways	WP521	Amino acid conjugation of benzoic acid	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP521	Amino acid conjugation of benzoic acid	BFO:0000050	reactome	R-HSA-156587	Amino Acid conjugation
reactome	R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	BFO:0000050	wikipathways	WP3678	Amplification and Expansion of Oncogenic Pathways as Metastatic Traits
wikipathways	WP254	Apoptosis	skos:exactMatch	reactome	R-HSA-109581	Apoptosis
reactome	R-HSA-69416	Dimerization of procaspase-8	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111461	Cytochrome c-mediated apoptotic response	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111457	Release of apoptotic factors from the mitochondria	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-75157	FasL/ CD95L signaling	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111458	Formation of apoptosome	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-6803207	TP53 Regulates Transcription of Caspase Activators and Caspases	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-5218900	CASP8 activity is inhibited	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111471	Apoptotic factor-mediated response	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-114294	Activation, translocation and oligomerization of BAX	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111452	Activation and oligomerization of BAK protein	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
reactome	R-HSA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
wikipathways	WP1772	Apoptosis Modulation and Signaling	BFO:0000050	reactome	R-HSA-109581	Apoptosis
reactome	R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling
wikipathways	WP384	Apoptosis Modulation by HSP70	BFO:0000050	reactome	R-HSA-111471	Apoptotic factor-mediated response
wikipathways	WP384	Apoptosis Modulation by HSP70	BFO:0000050	reactome	R-HSA-109581	Apoptosis
wikipathways	WP384	Apoptosis Modulation by HSP70	BFO:0000050	reactome	R-HSA-5357801	Programmed Cell Death
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	reactome	R-HSA-556833	Metabolism of lipids
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	reactome	R-HSA-211859	Biological oxidations
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	reactome	R-HSA-8978868	Fatty acid metabolism
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	BFO:0000050	reactome	R-HSA-2142753	Arachidonic acid metabolism
wikipathways	WP2586	Aryl Hydrocarbon Receptor	skos:exactMatch	reactome	R-HSA-8937144	Aryl hydrocarbon receptor signalling
wikipathways	WP2873	Aryl Hydrocarbon Receptor Pathway	skos:exactMatch	reactome	R-HSA-8937144	Aryl hydrocarbon receptor signalling
wikipathways	WP694	Arylamine metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP23	B Cell Receptor Signaling Pathway	skos:exactMatch	reactome	R-HSA-983705	Signaling by the B Cell Receptor (BCR)
wikipathways	WP23	B Cell Receptor Signaling Pathway	BFO:0000050	reactome	R-HSA-1280218	Adaptive Immune System
wikipathways	WP23	B Cell Receptor Signaling Pathway	BFO:0000050	reactome	R-HSA-168256	Immune System
wikipathways	WP3676	BDNF-TrkB Signaling	BFO:0000050	reactome	R-HSA-162582	Signal Transduction
wikipathways	WP3891	Benzene metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP696	Benzo(a)pyrene metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
reactome	R-HSA-380612	Metabolism of serotonin	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis
reactome	R-HSA-888568	GABA synthesis	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis
reactome	R-HSA-209931	Serotonin and melatonin biosynthesis	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis
reactome	R-HSA-888590	GABA synthesis, release, reuptake and degradation	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis
reactome	R-HSA-209905	Catecholamine biosynthesis	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis
wikipathways	WP550	Biogenic Amine Synthesis	BFO:0000050	reactome	R-HSA-1430728	Metabolism
reactome	R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation	BFO:0000050	wikipathways	WP272	Blood Clotting Cascade
reactome	R-HSA-75205	Dissolution of Fibrin Clot	BFO:0000050	wikipathways	WP272	Blood Clotting Cascade
wikipathways	WP272	Blood Clotting Cascade	BFO:0000050	reactome	R-HSA-109582	Hemostasis
reactome	R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	BFO:0000050	wikipathways	WP272	Blood Clotting Cascade
wikipathways	WP1425	Bone Morphogenic Protein (BMP) Signalling and Regulation	skos:exactMatch	reactome	R-HSA-201451	Signaling by BMP
wikipathways	WP2366	Butyrate-induced histone acetylation	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP3633	Caffeine and Theobromine metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
reactome	R-HSA-211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	BFO:0000050	wikipathways	WP3633	Caffeine and Theobromine metabolism
wikipathways	WP3633	Caffeine and Theobromine metabolism	BFO:0000050	reactome	R-HSA-211981	Xenobiotics
reactome	R-HSA-390648	Muscarinic acetylcholine receptors	BFO:0000050	wikipathways	WP536	Calcium Regulation in the Cardiac Cell
reactome	R-HSA-190827	Transport of connexins along the secretory pathway	BFO:0000050	wikipathways	WP536	Calcium Regulation in the Cardiac Cell
wikipathways	WP3869	Cannabinoid receptor signaling	BFO:0000050	reactome	R-HSA-162582	Signal Transduction
wikipathways	WP3845	Canonical  and Non-canonical Notch signaling	skos:exactMatch	reactome	R-HSA-157118	Signaling by NOTCH
reactome	R-HSA-9012852	Signaling by NOTCH3	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-9013694	Signaling by NOTCH4	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-350054	Notch-HLH transcription pathway	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
wikipathways	WP3845	Canonical  and Non-canonical Notch signaling	BFO:0000050	reactome	R-HSA-162582	Signal Transduction
reactome	R-HSA-1980143	Signaling by NOTCH1	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-2660825	Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-157118	Signaling by NOTCH	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-1980145	Signaling by NOTCH2	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-5083630	Defective LFNG causes SCDO3	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-8941856	RUNX3 regulates NOTCH signaling	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-2660826	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
reactome	R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus	BFO:0000050	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling
wikipathways	WP3874	Canonical and Non-Canonical TGF-B signaling	skos:exactMatch	reactome	R-HSA-170834	Signaling by TGF-beta Receptor Complex
reactome	R-HSA-3304351	Signaling by TGF-beta Receptor Complex in Cancer	BFO:0000050	wikipathways	WP3874	Canonical and Non-Canonical TGF-B signaling
wikipathways	WP179	Cell Cycle	skos:exactMatch	reactome	R-HSA-1640170	Cell Cycle
reactome	R-HSA-380108	Chemokine receptors bind chemokines	BFO:0000050	wikipathways	WP3929	Chemokine signaling pathway
wikipathways	WP197	Cholesterol Biosynthesis	skos:exactMatch	reactome	R-HSA-191273	Cholesterol biosynthesis
wikipathways	WP197	Cholesterol Biosynthesis	BFO:0000050	reactome	R-HSA-556833	Metabolism of lipids
wikipathways	WP197	Cholesterol Biosynthesis	BFO:0000050	reactome	R-HSA-1430728	Metabolism
reactome	R-HSA-6807047	Cholesterol biosynthesis via desmosterol	BFO:0000050	wikipathways	WP197	Cholesterol Biosynthesis
wikipathways	WP197	Cholesterol Biosynthesis	BFO:0000050	reactome	R-HSA-8957322	Metabolism of steroids
reactome	R-HSA-6807062	Cholesterol biosynthesis via lathosterol	BFO:0000050	wikipathways	WP197	Cholesterol Biosynthesis
reactome	R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer	BFO:0000050	wikipathways	WP4216	Chromosomal and microsatellite instability in colorectal cancer
reactome	R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer	BFO:0000050	wikipathways	WP4216	Chromosomal and microsatellite instability in colorectal cancer
reactome	R-HSA-3304347	Loss of Function of SMAD4 in Cancer	BFO:0000050	wikipathways	WP4216	Chromosomal and microsatellite instability in colorectal cancer
wikipathways	WP2826	Cocaine metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP1604	Codeine and Morphine Metabolism	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP2536	Colchicine Metabolic Pathway	BFO:0000050	reactome	R-HSA-1430728	Metabolism
wikipathways	WP545	Complement Activation	skos:exactMatch	reactome	R-HSA-166658	Complement cascade
reactome	R-HSA-977606	Regulation of Complement cascade	BFO:0000050	wikipathways	WP545	Complement Activation
reactome	R-HSA-174577	Activation of C3 and C5	BFO:0000050	wikipathways	WP545	Complement Activation
reactome	R-HSA-166665	Terminal pathway of complement	BFO:0000050	wikipathways	WP545	Complement Activation
reactome	R-HSA-166663	Initial triggering of complement	BFO:0000050	wikipathways	WP545	Complement Activation
reactome	R-HSA-166662	Lectin pathway of complement activation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-76002	Platelet activation, signaling and aggregation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-977606	Regulation of Complement cascade	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-174577	Activation of C3 and C5	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-166665	Terminal pathway of complement	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-109582	Hemostasis	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-140875	Common Pathway of Fibrin Clot Formation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-168256	Immune System	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-75205	Dissolution of Fibrin Clot	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-173736	Alternative complement activation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
reactome	R-HSA-166658	Complement cascade	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades
